movie_id,title,release_year,runtime,genre
1,Black Panther: Wakanda Forever,2022,161,Action
2,Avatar: The Way of Water,2022,192,Action
3,Plane,2023,107,Action
4,Everything Everywhere All at Once,2022,139,Action
5,Ant-Man and the Wasp: Quantumania,2023,125,Action
6,Shotgun Wedding,2022,100,Action
7,Bullet Train,2022,127,Action
8,All Quiet on the Western Front,2022,148,Action
9,Top Gun: Maverick,2022,130,Action
10,Pathaan,2023,146,Action
11,Teen Wolf: The Movie,2023,140,Action
12,Black Panther,2018,134,Action
13,The Batman,2022,176,Action
14,Top Gun,1986,109,Action
15,Avatar,2009,162,Action
16,The Wandering Earth II,2023,173,Action
17,Black Adam,2022,125,Action
18,Operation Fortune: Ruse de guerre,2023,114,Action
19,Jurassic World: Dominion,2022,147,Action
20,The Hunger Games,2012,142,Action
21,Devotion,2022,139,Action
22,The Northman,2022,137,Action
23,Dune,2021,155,Action
24,The Unbearable Weight of Massive Talent,2022,107,Action
25,The Woman King,2022,135,Action
26,RRR,2022,187,Action
27,The Lord of the Rings: The Fellowship of the Ring,2001,178,Action
28,Thor: Love and Thunder,2022,118,Action
29,Dungeons & Dragons: Honor Among Thieves,2023,134,Action
30,The Locksmith,2023,92,Action
31,The Dark Knight,2008,152,Action
32,Inception,2010,148,Action
33,Spider-Man: No Way Home,2021,148,Action
34,John Wick: Chapter 4,2023,169,Action
35,Gladiator,2000,155,Action
36,Avengers: Endgame,2019,181,Action
37,Legion of Super-Heroes,2023,83,Action
38,Little Dixie,2023,105,Action
39,An Action Hero,2022,130,Action
40,Strange World,2022,102,Action
41,John Wick,2014,101,Action
42,The Gentlemen,2019,113,Action
43,Blade Runner 2049,2017,164,Action
44,F9: The Fast Saga,2021,143,Action
45,Violent Night,2022,112,Action
46,Last Seen Alive,2022,95,Action
47,Nobody,2021,92,Action
48,The Matrix,1999,136,Action
49,The Gray Man,2022,122,Action
50,Raiders of the Lost Ark,1981,115,Action
51,Independence Day,1996,145,Action
52,Scott Pilgrim vs. the World,2010,112,Action
53,The Fast and the Furious,2001,106,Action
54,Barb Wire,1996,98,Action
55,No Time to Die,2021,163,Action
56,Uncharted,2022,116,Action
57,Tenet,2020,150,Action
58,Shazam! Fury of the Gods,2023,130,Action
59,Heat,1995,170,Action
60,The Suicide Squad,2021,132,Action
61,The Mummy,1999,124,Action
62,Dunkirk,2017,106,Action
63,Jurassic Park,1993,127,Action
64,Kingsman: The Golden Circle,2017,141,Action
65,Willow,1988,126,Action
66,Ant-Man,2015,117,Action
67,Edge of Tomorrow,2014,113,Action
68,The Lord of the Rings: The Return of the King,2003,201,Action
69,The Lost City,2022,112,Action
70,The Hunger Games: Catching Fire,2013,146,Action
71,Infinite,2021,106,Action
72,Ford v Ferrari,2019,152,Action
73,The King's Man,2021,131,Action
74,Doctor Strange in the Multiverse of Madness,2022,126,Action
75,Beast,2022,93,Action
76,Eternals,2021,156,Action
77,Guardians of the Galaxy,2014,121,Action
78,Léon: The Professional,1994,110,Action
79,Prey,2022,100,Action
80,Mad Max: Fury Road,2015,120,Action
