movie_id,total_ratings,average_rating
1,2,4.25
2,1,4.5
3,2,4.75
4,1,4.5
5,1,2.0
6,4,3.375
7,2,4.75
9,1,4.0
10,11,3.8636363636363638
11,44,4.318181818181818
12,1,5.0
13,46,4.076086956521739
14,1,3.5
15,2,4.25
16,1,3.0
17,54,4.12037037037037
20,3,3.8333333333333335
21,2,4.75
22,2,4.25
23,37,4.405405405405405
24,4,3.625
25,1,0.0
26,1,5.0
27,3,2.6666666666666665
28,4,3.5
29,1,4.5
30,5,4.3
31,2,4.5
32,3,4.0
33,1,5.0
34,1,4.5
35,1,3.0
36,3,3.5
38,3,4.0
39,1,4.5
40,1,4.5
41,31,4.209677419354839
44,3,4.166666666666667
45,53,4.254716981132075
47,4,4.375
48,45,4.277777777777778
50,1,5.0
51,39,4.0256410256410255
53,3,4.5
54,1,3.0
55,1,4.5
57,2,4.5
58,1,4.5
59,3,4.5
60,3,4.333333333333333
62,7,3.7142857142857144
65,2,4.25
66,1,5.0
71,1,5.0
72,2,4.0
75,3,3.6666666666666665
76,2,5.0
78,2,4.75
79,1,4.5
80,1,4.5
82,2,4.5
83,1,5.0
85,1,5.0
86,42,4.285714285714286
88,1,5.0
89,2,4.0
90,4,4.0
91,1,4.5
92,1,4.0
93,2,4.0
95,1,2.5
96,1,4.5
97,1,4.0
100,1,5.0
101,1,5.0
102,2,3.75
104,3,4.333333333333333
105,33,4.075757575757576
106,2,4.25
107,4,3.875
108,1,3.5
109,167,4.287425149700598
111,2,2.25
113,1,5.0
114,1,5.0
115,1,5.0
116,1,4.5
117,1,4.5
118,51,4.2745098039215685
119,3,4.666666666666667
121,4,4.25
123,4,4.75
124,1,2.5
125,1,5.0
126,39,4.282051282051282
128,1,4.0
131,1,4.5
133,2,4.0
134,3,4.5
135,9,4.166666666666667
137,1,3.0
138,2,3.75
139,3,3.5
140,2,4.75
141,1,3.0
142,1,3.0
144,2,5.0
148,1,3.5
150,1,4.5
151,2,4.25
152,2,4.5
153,1,4.5
154,3,4.333333333333333
155,2,5.0
156,1,4.5
157,1,4.5
158,2,4.25
159,1,3.0
160,1,4.0
161,2,4.75
162,7,3.142857142857143
164,1,4.5
165,1,5.0
166,38,3.986842105263158
167,4,3.875
168,2,3.5
169,2,4.5
170,2,4.0
171,1,4.5
173,3,4.166666666666667
174,26,4.384615384615385
176,1,3.0
178,2,4.75
179,1,2.5
180,1,3.0
181,3,4.333333333333333
182,1,5.0
183,49,4.183673469387755
184,2,4.5
185,1,3.5
187,52,4.163461538461538
188,6,3.9166666666666665
191,43,4.255813953488372
193,1,5.0
194,49,4.326530612244898
195,1,5.0
197,7,4.071428571428571
198,4,4.375
199,1,5.0
200,1,4.5
201,2,2.0
202,1,4.5
204,2,4.25
205,1,0.0
206,5,3.3
207,47,4.351063829787234
209,1,5.0
210,8,4.4375
212,6,4.416666666666667
213,2,4.5
214,3,4.666666666666667
216,1,4.5
217,38,4.2368421052631575
218,1,4.5
219,3,4.833333333333333
220,1,4.0
221,2,4.5
223,3,3.8333333333333335
224,59,4.271186440677966
225,1,5.0
226,2,4.5
227,1,3.0
230,2,4.25
233,2,4.25
234,47,4.095744680851064
235,3,4.166666666666667
236,3,4.666666666666667
237,3,4.166666666666667
238,45,4.166666666666667
239,2,4.25
240,42,4.011904761904762
241,1,4.5
242,3,4.5
243,1,5.0
247,1,3.5
249,37,4.216216216216216
251,1,5.0
252,2,4.0
253,2,4.25
254,1,4.5
255,1,5.0
256,1,4.5
257,4,4.25
260,2,4.25
261,38,4.0394736842105265
263,1,4.5
264,1,4.0
265,2,4.75
266,3,3.0
267,1,4.5
269,50,4.04
270,5,4.3
271,1,4.5
272,1,4.5
273,1,5.0
274,3,4.5
275,38,3.973684210526316
277,2,4.75
279,44,4.181818181818182
280,1,5.0
281,2,4.5
282,2,2.75
283,53,4.169811320754717
284,1,1.0
285,50,4.14
286,2,4.75
287,2,4.25
288,3,4.166666666666667
289,1,4.5
290,4,4.625
291,1,1.5
292,1,4.5
293,1,4.0
294,1,4.0
295,3,3.6666666666666665
296,39,4.089743589743589
298,5,4.3
299,1,4.5
300,2,4.75
301,5,4.7
302,52,4.0673076923076925
303,4,3.375
304,3,4.333333333333333
305,1,4.0
306,2,3.5
307,4,4.75
308,1,5.0
309,1,4.5
310,1,4.5
311,1,5.0
312,1,4.5
315,1,4.0
319,2,4.5
321,1,5.0
322,2,4.0
323,2,5.0
324,1,3.5
325,1,4.5
326,2,4.75
327,2,3.25
328,2,4.25
329,36,4.083333333333333
330,2,4.75
331,44,4.261363636363637
332,2,4.0
335,1,5.0
336,1,5.0
337,1,5.0
338,1,5.0
340,1,3.0
342,1,5.0
343,1,4.5
344,2,4.25
345,1,4.5
346,2,4.5
347,1,4.0
348,1,4.5
349,1,4.5
351,3,3.1666666666666665
352,2,4.75
353,1,4.0
354,2,2.5
355,1,4.0
356,2,4.25
357,1,4.5
359,4,3.75
360,41,4.085365853658536
361,4,4.125
362,2,5.0
363,1,4.0
364,2,4.5
365,3,4.333333333333333
366,1,5.0
367,1,4.0
368,1,5.0
369,2,5.0
372,1,5.0
373,4,3.0
374,2,5.0
375,2,3.5
376,1,3.0
378,114,4.092105263157895
380,41,4.158536585365853
381,3,4.333333333333333
383,1,5.0
384,2,4.75
386,3,4.5
387,2,3.0
389,2,5.0
390,2,3.0
392,6,4.333333333333333
393,2,2.5
394,1,5.0
397,1,4.5
398,1,5.0
402,2,4.5
403,2,4.25
404,1,4.0
406,3,4.833333333333333
407,2,4.5
409,2,4.75
410,2,4.25
413,1,5.0
414,4,4.125
415,1,3.5
416,1,4.5
419,2,4.75
420,30,4.466666666666667
421,2,4.5
423,1,4.5
426,36,4.194444444444445
427,2,4.75
428,6,4.666666666666667
429,2,4.75
431,3,4.666666666666667
433,1,4.5
434,35,4.5
435,1,4.0
436,1,4.0
437,46,4.1521739130434785
438,39,4.230769230769231
439,37,4.351351351351352
440,1,4.0
441,2,4.75
443,2,4.25
445,1,5.0
446,42,4.25
447,38,4.342105263157895
448,3,1.0
449,4,4.75
452,2,3.5
453,1,4.0
454,37,4.054054054054054
455,2,4.0
456,2,4.5
458,4,4.125
459,1,4.5
460,1,2.0
462,27,3.7962962962962963
464,2,3.5
466,4,4.5
469,1,4.0
472,42,4.214285714285714
473,1,4.5
474,1,4.5
475,4,3.625
476,1,4.5
477,1,5.0
479,3,3.6666666666666665
481,1,3.5
482,1,4.5
484,1,4.5
485,2,3.75
486,2,2.5
488,49,4.295918367346939
490,1,4.5
491,1,5.0
493,1,4.0
495,1,3.0
496,2,5.0
497,1,5.0
498,1,4.5
500,2,4.0
501,3,4.333333333333333
